,Tm,G,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr
0,Atlanta Falcons,16,428,617,4653,5279,8.6,2804,6.6,4.5,1849,4.3,0,18,1,37,6.20%,81,13.50%,0,0.00%,42,202,53,48,143,21.1%,18,6.7
1,Buffalo Bills,16,271,499,2794,4942,9.9,1693,6.2,3.4,1101,4.1,0,21,0,24,5.00%,110,23.00%,0,0.00%,41,184,82,49,172,29.0%,54,10.3
2,Carolina Panthers,16,378,563,3836,4169,7.4,2022,5.3,3.6,1814,4.8,0,21,4,24,4.50%,85,15.80%,0,0.00%,32,167,58,36,126,20.1%,32,7.7
3,Chicago Bears,16,344,512,3564,4479,8.7,2151,6.3,4.2,1413,4.1,0,10,1,13,2.60%,90,18.00%,0,0.00%,33,141,64,24,121,20.8%,38,8.6
4,Cincinnati Bengals,16,331,542,3290,4278,7.9,1919,5.8,3.5,1371,4.1,0,14,3,30,5.70%,93,17.70%,0,0.00%,37,158,63,32,132,21.9%,23,7.8
5,Cleveland Browns,16,353,574,4007,5449,9.5,2350,6.7,4.1,1657,4.7,0,18,4,36,6.50%,101,18.30%,0,0.00%,38,206,105,27,170,26.6%,28,9.0
6,Indianapolis Colts,16,432,644,4461,4857,7.5,2622,6.1,4.1,1839,4.3,0,8,2,37,5.80%,90,14.20%,0,0.00%,18,156,51,52,121,17.7%,21,7.6
7,Arizona Cardinals,16,283,495,2523,3979,8.0,1627,5.7,3.3,896,3.2,0,24,1,26,5.50%,92,19.60%,0,0.00%,52,127,48,47,147,26.2%,15,10.2
8,Dallas Cowboys,16,356,527,3538,3978,7.5,1993,5.6,3.8,1545,4.3,0,13,0,22,4.30%,90,17.50%,0,0.00%,56,169,74,49,179,29.2%,29,6.7
9,Denver Broncos,16,367,588,3695,4372,7.4,2116,5.8,3.6,1579,4.3,0,35,2,34,6.20%,95,17.20%,0,0.00%,34,180,77,51,162,25.6%,12,7.7
10,Detroit Lions,16,375,574,3576,3982,6.9,1797,4.8,3.1,1779,4.7,0,17,1,30,5.40%,99,17.80%,0,0.00%,41,168,57,34,132,21.0%,13,7.1
11,Green Bay Packers,16,392,640,4238,5656,8.8,2436,6.2,3.8,1802,4.6,0,51,3,31,5.30%,116,19.80%,0,0.00%,53,158,95,42,190,26.0%,38,8.4
