Tm,G,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%
Atlanta Falcons,16,428,617,4653,0,18,1,37,6.20%,81,13.50%,0,0.00%
Buffalo Bills,16,271,499,2794,0,21,0,24,5.00%,110,23.00%,0,0.00%
Carolina Panthers,16,378,563,3836,0,21,4,24,4.50%,85,15.80%,0,0.00%
Chicago Bears,16,344,512,3564,0,10,1,13,2.60%,90,18.00%,0,0.00%
Cincinnati Bengals,16,331,542,3290,0,14,3,30,5.70%,93,17.70%,0,0.00%
Cleveland Browns,16,353,574,4007,0,18,4,36,6.50%,101,18.30%,0,0.00%
Indianapolis Colts,16,432,644,4461,0,8,2,37,5.80%,90,14.20%,0,0.00%
Arizona Cardinals,16,283,495,2523,0,24,1,26,5.50%,92,19.60%,0,0.00%
Dallas Cowboys,16,356,527,3538,0,13,0,22,4.30%,90,17.50%,0,0.00%
Denver Broncos,16,367,588,3695,0,35,2,34,6.20%,95,17.20%,0,0.00%
Detroit Lions,16,375,574,3576,0,17,1,30,5.40%,99,17.80%,0,0.00%
Green Bay Packers,16,392,640,4238,0,51,3,31,5.30%,116,19.80%,0,0.00%
Houston Texans,16,345,506,3781,0,13,6,17,3.50%,85,17.50%,0,0.00%
Jacksonville Jaguars,16,329,536,3109,0,22,0,33,6.40%,89,17.30%,0,0.00%
Kansas City Chiefs,16,385,583,4955,0,24,1,29,5.20%,95,17.00%,0,0.00%
Miami Dolphins,16,292,455,2900,0,20,2,16,3.70%,70,16.20%,0,0.00%
Minnesota Vikings,16,425,606,4036,0,17,3,25,4.30%,68,11.60%,0,0.00%
New Orleans Saints,16,381,519,4042,0,14,0,24,4.80%,52,10.30%,0,0.00%
New England Patriots,16,378,574,4258,0,22,2,25,4.50%,104,18.90%,0,0.00%
New York Giants,16,382,583,4047,0,9,1,24,4.20%,96,16.80%,0,0.00%
New York Jets,16,299,524,3165,0,27,2,26,5.30%,99,20.00%,0,0.00%
Tennessee Titans,16,293,437,2975,0,14,0,19,4.50%,78,18.40%,0,0.00%
Philadelphia Eagles,16,422,599,4275,0,6,4,23,3.90%,78,13.20%,0,0.00%
Pittsburgh Steelers,16,459,689,5008,0,7,3,24,3.50%,125,18.40%,0,0.00%
Oakland Raiders,16,382,556,3751,0,23,7,33,6.30%,66,12.50%,0,0.00%
Los Angeles Rams,16,368,568,4507,0,29,2,14,2.60%,93,17.30%,0,0.00%
Baltimore Ravens,16,334,556,3558,0,16,3,29,5.40%,101,18.80%,0,0.00%
Los Angeles Chargers,16,348,512,4089,0,14,0,23,4.60%,64,12.90%,0,0.00%
Seattle Seahawks,16,280,427,3093,0,24,8,18,4.60%,61,15.40%,0,0.00%
San Francisco 49ers,16,331,532,3867,0,20,4,27,5.30%,77,15.20%,0,0.00%
Tampa Bay Buccaneers,16,408,625,5125,0,11,1,26,4.20%,96,15.70%,0,0.00%
Washington Redskins,16,311,509,3021,0,20,4,29,6.00%,80,16.50%,0,0.00%
