Tm,G,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
Atlanta Falcons,16,428,617,4653,5279,8.6,2804,6.6,4.5,1849,4.3
Buffalo Bills,16,271,499,2794,4942,9.9,1693,6.2,3.4,1101,4.1
Carolina Panthers,16,378,563,3836,4169,7.4,2022,5.3,3.6,1814,4.8
Chicago Bears,16,344,512,3564,4479,8.7,2151,6.3,4.2,1413,4.1
Cincinnati Bengals,16,331,542,3290,4278,7.9,1919,5.8,3.5,1371,4.1
Cleveland Browns,16,353,574,4007,5449,9.5,2350,6.7,4.1,1657,4.7
Indianapolis Colts,16,432,644,4461,4857,7.5,2622,6.1,4.1,1839,4.3
Arizona Cardinals,16,283,495,2523,3979,8,1627,5.7,3.3,896,3.2
Dallas Cowboys,16,356,527,3538,3978,7.5,1993,5.6,3.8,1545,4.3
Denver Broncos,16,367,588,3695,4372,7.4,2116,5.8,3.6,1579,4.3
Detroit Lions,16,375,574,3576,3982,6.9,1797,4.8,3.1,1779,4.7
Green Bay Packers,16,392,640,4238,5656,8.8,2436,6.2,3.8,1802,4.6
Houston Texans,16,345,506,3781,4287,8.5,2412,7,4.8,1369,4
Jacksonville Jaguars,16,329,536,3109,3732,7,1573,4.8,2.9,1536,4.7
Kansas City Chiefs,16,385,583,4955,5278,9.1,2503,6.5,4.3,2452,6.4
Miami Dolphins,16,292,455,2900,3703,8.1,1532,5.2,3.4,1368,4.7
Minnesota Vikings,16,425,606,4036,4390,7.2,2345,5.5,3.9,1691,4
New Orleans Saints,16,381,519,4042,3762,7.2,2276,6,4.4,1766,4.6
New England Patriots,16,378,574,4258,4489,7.8,2229,5.9,3.9,2029,5.4
New York Giants,16,382,583,4047,4369,7.5,2215,5.8,3.8,1832,4.8
New York Jets,16,299,524,3165,4648,8.9,1836,6.1,3.5,1329,4.4
Tennessee Titans,16,293,437,2975,3274,7.5,1616,5.5,3.7,1359,4.6
Philadelphia Eagles,16,422,599,4275,4379,7.3,2390,5.7,4,1885,4.5
Pittsburgh Steelers,16,459,689,5008,5327,7.7,2353,5.1,3.4,2655,5.8
Oakland Raiders,16,382,556,3751,3791,6.8,2073,5.4,3.7,1678,4.4
Los Angeles Rams,16,368,568,4507,4906,8.6,2566,7,4.5,1941,5.3
Baltimore Ravens,16,334,556,3558,4807,8.6,2149,6.4,3.9,1409,4.2
Los Angeles Chargers,16,348,512,4089,3958,7.7,2189,6.3,4.3,1900,5.5
Seattle Seahawks,16,280,427,3093,3843,9,2063,7.4,4.8,1030,3.7
San Francisco 49ers,16,331,532,3867,3722,7,1931,5.8,3.6,1936,5.8
Tampa Bay Buccaneers,16,408,625,5125,6635,10.6,3574,8.8,5.7,1551,3.8
Washington Redskins,16,311,509,3021,4181,8.2,1758,5.7,3.5,1263,4.1
