Year,Team,PPG_Off,PPG_Def
2000,St. Louis Rams,33.75,29.4375
2000,Denver Broncos,30.3125,23.0625
2000,Oakland Raiders,29.9375,18.6875
2000,Indianapolis Colts,26.8125,20.375
2000,Minnesota Vikings,24.8125,23.1875
2000,Tampa Bay Buccaneers,24.25,16.8125
2000,San Francisco 49ers,24.25,26.375
2000,Jacksonville Jaguars,22.9375,20.4375
2000,Kansas City Chiefs,22.1875,22.125
2000,New Orleans Saints,22.125,19.0625
2000,Green Bay Packers,22.0625,20.1875
2000,Philadelphia Eagles,21.9375,15.3125
2000,Tennessee Titans,21.625,11.9375
2000,Baltimore Ravens,20.8125,10.3125
2000,New York Giants,20.5,15.375
2000,Miami Dolphins,20.1875,14.125
2000,Pittsburgh Steelers,20.0625,15.9375
2000,New York Jets,20.0625,20.0625
2000,Seattle Seahawks,20.0,25.3125
2000,Buffalo Bills,19.6875,21.875
2000,Carolina Panthers,19.375,19.375
2000,Detroit Lions,19.1875,19.1875
2000,Dallas Cowboys,18.375,22.5625
2000,Washington Redskins,17.5625,16.8125
2000,New England Patriots,17.25,21.125
2000,San Diego Chargers,16.8125,27.5
2000,Atlanta Falcons,15.75,25.8125
2000,Chicago Bears,13.5,22.1875
2000,Arizona Cardinals,13.125,27.6875
2000,Cincinnati Bengals,11.5625,22.4375
2000,Cleveland Browns,10.0625,26.1875
2001,St. Louis Rams,31.4375,17.0625
2001,Indianapolis Colts,25.8125,30.375
2001,San Francisco 49ers,25.5625,17.625
2001,Oakland Raiders,24.9375,20.4375
2001,Green Bay Packers,24.375,16.625
2001,New England Patriots,23.1875,17.0
2001,Pittsburgh Steelers,22.0,13.25
2001,Miami Dolphins,21.5,18.125
2001,Philadelphia Eagles,21.4375,13.0
2001,Denver Broncos,21.25,21.1875
2001,Chicago Bears,21.125,12.6875
2001,Tennessee Titans,21.0,24.25
2001,New Orleans Saints,20.8125,25.5625
2001,San Diego Chargers,20.75,20.0625
2001,Tampa Bay Buccaneers,20.25,17.5
2001,Kansas City Chiefs,20.0,21.5
2001,New York Jets,19.25,18.4375
2001,Baltimore Ravens,18.9375,16.5625
2001,Seattle Seahawks,18.8125,20.25
2001,Arizona Cardinals,18.4375,21.4375
2001,New York Giants,18.375,20.0625
2001,Jacksonville Jaguars,18.375,17.875
2001,Atlanta Falcons,18.1875,23.5625
2001,Minnesota Vikings,18.125,24.375
2001,Cleveland Browns,17.8125,19.9375
2001,Detroit Lions,16.875,26.5
2001,Buffalo Bills,16.5625,26.25
2001,Washington Redskins,16.0,18.9375
2001,Carolina Panthers,15.8125,25.625
2001,Dallas Cowboys,15.375,21.125
2001,Cincinnati Bengals,14.125,19.3125
2002,Kansas City Chiefs,29.1875,24.9375
